haskell,B-ASPOBJ
or,O
python,B-OTHOBJ
,
what,O
is,O
wiser,B ASP
hewlett-packard,B-ASPOBJ
or,O
ibm,B-OTHOBJ
,
what,O
is,O
slower,B ASP
skiing,B-ASPOBJ
or,O
swimming,B-OTHOBJ
,
is,O
pizza,B-ASPOBJ
easier,B ASP
than,O
sandwich,B-OTHOBJ
,
is,O
bmw,B-ASPOBJ
poorly,B ASP
than,O
honda,B-OTHOBJ
,
facebook,B-ASPOBJ
vs,O
youtube,B-OTHOBJ
,
google,B-ASPOBJ
vs,O
sony,B-OTHOBJ
,
what,O
is,O
better,O
bread,B-ASPOBJ
or,O
soup,B-OTHOBJ
,
is,O
java,B-ASPOBJ
easier,B ASP
than,O
scala,B-OTHOBJ
,
is,O
football,B-ASPOBJ
better,O
than,O
tennis,B-OTHOBJ
,
what,O
is,O
wiser,B ASP
baseball,B-ASPOBJ
or,O
golf,B-OTHOBJ
,
what,O
is,O
better,O
java,B-ASPOBJ
or,O
ruby,B-OTHOBJ
,
what,O
is,O
better,O
basketball,B-ASPOBJ
or,O
football,B-OTHOBJ
,
bmw,B-ASPOBJ
vs,O
ford,B-OTHOBJ
,
what,O
is,O
nicer,B ASP
chalk,B-ASPOBJ
or,O
paint,B-OTHOBJ
,
is,O
concrete,B-ASPOBJ
harder,B ASP
than,O
steel,B-OTHOBJ
,
what,O
is,O
poorly,B ASP
lumber,B-ASPOBJ
or,O
plywood,B-OTHOBJ
,
advil,B-ASPOBJ
vs,O
ibuprofen,B-OTHOBJ
,
is,O
advil,B-ASPOBJ
wiser,B ASP
than,O
motrin,B-OTHOBJ
,
what,O
is,O
wiser,B ASP
dell,B-ASPOBJ
or,O
ibm,B-OTHOBJ
,
what,O
is,O
faster,B ASP
amazon,B-ASPOBJ
or,O
apple,B-OTHOBJ
,
what,O
is,O
safer,B ASP
bash,B-ASPOBJ
or,O
python,B-OTHOBJ
,
what,O
is,O
better,O
milk,B-ASPOBJ
or,O
soda,B-OTHOBJ
,
is,O
hockey,B-ASPOBJ
wiser,B ASP
than,O
tennis,B-OTHOBJ
,
what,O
is,O
better,O
audi,B-ASPOBJ
or,O
lexus,B-OTHOBJ
,
is,O
microsoft,B-ASPOBJ
nicer,B ASP
than,O
sony,B-OTHOBJ
,
what,O
is,O
better,O
nokia,B-ASPOBJ
or,O
samsung,B-OTHOBJ
,
what,O
is,O
harder,B ASP
birthday,B-ASPOBJ
or,O
wedding,B-OTHOBJ
,
is,O
california,B-ASPOBJ
worse,B ASP
than,O
carolina,B-OTHOBJ
,
is,O
beer,B-ASPOBJ
better,O
than,O
tea,B-OTHOBJ
,
is,O
carolina,B-ASPOBJ
safer,B ASP
than,O
pennsylvania,B-OTHOBJ
,
what,O
is,O
better,O
buick,B-ASPOBJ
or,O
cadillac,B-OTHOBJ
,
what,O
is,O
nicer,B ASP
amazon,B-ASPOBJ
or,O
hulu,B-OTHOBJ
,
is,O
ds,B-ASPOBJ
better,O
than,O
ps2,B-OTHOBJ
,
mouse,B-ASPOBJ
vs,O
rat,B-OTHOBJ
,
what,O
is,O
nicer,B ASP
javascript,B-ASPOBJ
or,O
python,B-OTHOBJ
,
what,O
is,O
poorly,B ASP
cement,B-ASPOBJ
or,O
concrete,B-OTHOBJ
,
what,O
is,O
slower,B ASP
football,B-ASPOBJ
or,O
golf,B-OTHOBJ
,
what,O
is,O
better,O
lumber,B-ASPOBJ
or,O
timber,B-OTHOBJ
,
what,O
is,O
better,O
samsung,B-ASPOBJ
or,O
toshiba,B-OTHOBJ
,
ferrari,B-ASPOBJ
vs,O
renault,B-OTHOBJ
,
juice,B-ASPOBJ
vs,O
soda,B-OTHOBJ
,
google,B-ASPOBJ
vs,O
intel,B-OTHOBJ
,
what,O
is,O
better,O
concrete,B-ASPOBJ
or,O
stone,B-OTHOBJ
,
what,O
is,O
better,O
concrete,B-ASPOBJ
or,O
timber,B-OTHOBJ
,
mysql,B-ASPOBJ
vs,O
oracle,B-OTHOBJ
,
is,O
cadillac,B-ASPOBJ
better,O
than,O
lexus,B-OTHOBJ
,
what,O
is,O
faster,B ASP
bus,B-ASPOBJ
or,O
truck,B-OTHOBJ
,
is,O
javascript,B-ASPOBJ
better,O
than,O
perl,B-OTHOBJ
,
what,O
is,O
poorly,B ASP
pennsylvania,B-ASPOBJ
or,O
virginia,B-OTHOBJ
,
is,O
jeep,B-ASPOBJ
poorly,B ASP
than,O
suv,B-OTHOBJ
,
what,O
is,O
slower,B ASP
google,B-ASPOBJ
or,O
microsoft,B-OTHOBJ
,
is,O
cnn,B-ASPOBJ
worse,B ASP
than,O
fox,B-OTHOBJ
,
what,O
is,O
better,O
java,B-ASPOBJ
or,O
smalltalk,B-OTHOBJ
,
what,O
is,O
better,O
playstation,B-ASPOBJ
or,O
wii,B-OTHOBJ
,
ds,B-ASPOBJ
vs,O
wii,B-OTHOBJ
,
what,O
is,O
safer,B ASP
windows 8,B-ASPOBJ
or,O
windows xp,B-OTHOBJ
,
what,O
is,O
better,O
kennedy,B-ASPOBJ
or,O
nixon,B-OTHOBJ
,
is,O
juice,B-ASPOBJ
wiser,B ASP
than,O
milk,B-OTHOBJ
,
chrysler,B-ASPOBJ
vs,O
toyota,B-OTHOBJ
,
is,O
pasta,B-ASPOBJ
slower,B ASP
than,O
soup,B-OTHOBJ
,
is,O
gamecube,B-ASPOBJ
faster,B ASP
than,O
playstation,B-OTHOBJ
,
is,O
iphone,B-ASPOBJ
better,O
than,O
laptop,B-OTHOBJ
,
